id,gm_time_s,extend_g_time_s
6817,0.0039,0.0034
6818,0.0032,0.0028
6819,0.0027,0.0022
6820,0.0026,0.0023
6821,0.0023,0.0019
6822,0.002,0.0016
6823,0.0026,0.0029
6824,0.0035,0.003
6825,0.0028,0.0024
6826,0.0037,0.0026
6827,0.0031,0.0026
6828,0.0022,0.0019
6829,0.0027,0.0024
6830,0.0027,0.0023
6831,0.0036,0.0031
6832,0.0032,0.0029
6833,0.0016,0.0014
6834,0.0021,0.0019
6835,0.0015,0.0014
6836,0.0021,0.0018
6837,0.0023,0.0021
6838,0.002,0.0016
6839,0.0031,0.0032
6840,0.0036,0.0029
6841,0.0034,0.0028
6842,0.0027,0.0022
6843,0.0027,0.0016
6844,0.0021,0.0018
6845,0.0027,0.0023
6846,0.0034,0.0029
6847,0.0021,0.0018
6848,0.0024,0.0021
6849,0.0022,0.0019
6850,0.0023,0.0019
6851,0.0021,0.0019
6852,0.0044,0.0038
6853,0.0038,0.0032
6854,0.0026,0.0029
6855,0.0029,0.0024
6856,0.0027,0.0022
6857,0.003,0.0026
6858,0.0034,0.0025
6859,0.0025,0.0021
6860,0.0038,0.0032
6861,0.0019,0.0017
6862,0.0027,0.0023
6863,0.0014,0.0012
6864,0.0021,0.0017
6865,0.0027,0.0024
6866,0.0027,0.0024
6867,0.0021,0.0019
6868,0.0028,0.0025
6869,0.002,0.0017
6870,0.0031,0.0031
6871,0.0023,0.0019
6872,0.0034,0.0029
6873,0.0038,0.0033
6874,0.0024,0.0021
6875,0.0034,0.0025
6876,0.0037,0.0032
6877,0.0042,0.0036
6878,0.0031,0.0027
6879,0.0035,0.003
6880,0.0018,0.0015
6881,0.0043,0.0037
6882,0.0043,0.0037
6883,0.0051,0.005
6884,0.0043,0.0036
6885,0.004,0.0027
6886,0.0066,0.0059
6887,0.0028,0.0024
6888,0.0021,0.0018
6889,0.002,0.0017
6890,0.0047,0.0041
6891,0.0028,0.0024
6892,0.0027,0.0023
6893,0.0031,0.0027
6894,0.0032,0.0035
6895,0.0042,0.0036
6896,0.0042,0.0036
6897,0.0046,0.0033
6898,0.0041,0.0036
6899,0.0012,0.001
6900,0.0017,0.0014
6901,0.0029,0.0024
6902,0.0016,0.0014
6903,0.0035,0.003
6904,0.0028,0.0023
6905,0.0029,0.0025
6906,0.0032,0.0027
6907,0.002,0.0017
6908,0.0034,0.0035
6909,0.0041,0.0036
6910,0.0029,0.0025
6911,0.0036,0.0032
6912,0.0049,0.0037
6913,0.0038,0.0034
6914,0.0023,0.002
6915,0.0051,0.0045
6916,0.0041,0.0036
6917,0.0032,0.0027
6918,0.0028,0.0023
6919,0.0021,0.0018
6920,0.0037,0.0039
6921,0.0037,0.0032
6922,0.0025,0.002
6923,0.0032,0.0028
6924,0.0026,0.0022
6925,0.0028,0.0018
6926,0.0044,0.0038
6927,0.0031,0.0027
6928,0.0049,0.0043
6929,0.0052,0.0043
6930,0.0022,0.002
6931,0.0042,0.0036
6932,0.0023,0.0027
6933,0.0029,0.0025
