id,gm_time_s,extend_time_s,extend_g_time_s,ilp_time_s,syn_time_s
2431,0.0037,0.0032,0.0033,0.5937,0.0027
2432,0.0046,0.0031,0.0032,0.5809,0.0026
2433,0.0023,0.0018,0.002,0.1917,0.0018
2434,0.0028,0.0024,0.0024,0.3052,0.0019
2435,0.0021,0.0016,0.0018,0.1573,0.0017
2436,0.0031,0.0026,0.0027,0.5509,0.0022
2437,0.0029,0.0023,0.0025,0.3711,0.0021
2438,0.0036,0.0033,0.0032,0.654,0.0027
2439,0.0019,0.0013,0.0016,0.1224,0.0014
2440,0.0026,0.002,0.0022,0.2354,0.0019
2441,0.0041,0.0034,0.0035,1.9581,0.0027
2442,0.0053,0.004,0.004,4.7688,0.0032
2443,0.0044,0.0038,0.0043,1.6107,0.003
2444,0.0028,0.0022,0.0025,0.3243,0.002
2445,0.0032,0.0026,0.0027,0.4437,0.0023
2446,0.0049,0.0033,0.0034,0.5319,0.0029
2447,0.0048,0.0053,0.0042,1.9857,0.0036
2448,0.0036,0.0031,0.0032,1.0429,0.0025
2449,0.0029,0.0022,0.0024,0.4679,0.0021
2450,0.0033,0.0028,0.0029,0.806,0.0023
2451,0.003,0.0025,0.0026,0.4196,0.0021
2452,0.0047,0.0048,0.004,5.3731,0.0031
2453,0.0032,0.0026,0.0028,0.9289,0.0023
2454,0.0033,0.003,0.003,0.5147,0.0025
2455,0.0044,0.0043,0.0046,3.5637,0.003
2456,0.0032,0.0026,0.0028,0.6469,0.0022
2457,0.002,0.0015,0.0017,0.1306,0.0016
2458,0.0052,0.0037,0.0035,2.4773,0.0027
2459,0.0042,0.0037,0.0037,0.9544,0.0029
2460,0.0047,0.0045,0.0041,1.1555,0.0033
2461,0.0045,0.0039,0.0039,3.4431,0.003
2462,0.0047,0.0051,0.004,1.4046,0.0032
2463,0.0037,0.0032,0.0032,0.6112,0.0025
2464,0.0042,0.0038,0.0036,1.4767,0.0029
2465,0.0019,0.0017,0.0016,0.1199,0.002
2466,0.0026,0.0021,0.003,0.2643,0.0019
2467,0.0018,0.0012,0.0015,0.093,0.0014
2468,0.0022,0.0018,0.002,0.3325,0.0017
2469,0.0031,0.0024,0.0027,0.4536,0.0022
2470,0.0045,0.0029,0.003,0.8191,0.0024
2471,0.0041,0.0036,0.0035,2.7172,0.0029
2472,0.0044,0.0038,0.0037,2.1785,0.0029
2473,0.0043,0.0036,0.0037,0.9166,0.0028
2474,0.0027,0.002,0.0023,0.3755,0.002
2475,0.0044,0.004,0.0038,1.2894,0.003
2476,0.0038,0.0033,0.0032,1.0567,0.0026
2477,0.0037,0.0032,0.0033,0.7008,0.0027
2478,0.0013,0.0009,0.0011,0.0852,0.0011
2479,0.0019,0.0014,0.0016,0.1093,0.0015
2480,0.0039,0.0044,0.0043,1.8341,0.0028
2481,0.0047,0.0043,0.004,2.8243,0.0034
2482,0.0032,0.0015,0.0018,0.152,0.0019
2483,0.002,0.0015,0.0017,0.1375,0.0015
2484,0.0042,0.0036,0.0036,1.4457,0.003
2485,0.0042,0.0037,0.0036,1.1211,0.0028
2486,0.002,0.0014,0.0016,0.1046,0.0021
2487,0.0031,0.0025,0.0027,0.4225,0.0022
2488,0.0023,0.0021,0.002,0.2208,0.0018
2489,0.0022,0.0017,0.0018,0.1969,0.0015
2490,0.0027,0.0021,0.0023,0.3956,0.002
2491,0.0032,0.0026,0.0028,0.5062,0.0022
2492,0.0035,0.0033,0.003,0.58,0.0025
2493,0.0047,0.0043,0.0048,1.2171,0.0033
2494,0.0017,0.0012,0.0015,0.0735,0.0013
2495,0.0028,0.0022,0.0023,0.2826,0.002
2496,0.0034,0.0027,0.0029,0.5155,0.0023
2497,0.0047,0.0038,0.0033,0.6576,0.0028
2498,0.0036,0.0038,0.0031,0.6791,0.0024
2499,0.0034,0.0028,0.0029,0.788,0.0024
2500,0.0036,0.003,0.0031,0.683,0.0025
2501,0.005,0.0049,0.0044,3.5727,0.0032
2502,0.0019,0.0013,0.0015,0.0779,0.0013
2503,0.0022,0.0017,0.0019,0.1912,0.0016
2504,0.0034,0.0027,0.0029,0.5312,0.0024
2505,0.0032,0.0028,0.0027,0.883,0.0022
2506,0.0023,0.0017,0.0025,0.1817,0.0017
2507,0.0033,0.0027,0.0028,0.5758,0.0028
2508,0.0033,0.0027,0.0028,0.6298,0.0022
2509,0.0044,0.0038,0.0037,2.6106,0.0029
2510,0.0016,0.0011,0.0014,0.0589,0.0014
2511,0.0052,0.0035,0.0036,0.862,0.0031
2512,0.0036,0.003,0.0032,1.1992,0.0026
2513,0.0029,0.0023,0.0024,0.4237,0.002
2514,0.0025,0.0019,0.0022,0.2383,0.0019
2515,0.0023,0.0017,0.002,0.1639,0.0017
2516,0.0035,0.0039,0.0031,0.7432,0.0026
2517,0.0025,0.0018,0.0021,0.2751,0.0018
2518,0.0034,0.0028,0.0029,0.4785,0.0024
2519,0.0035,0.0029,0.0031,0.5899,0.0024
2520,0.0037,0.0033,0.0038,0.6236,0.0026
2521,0.0042,0.0036,0.0036,0.8574,0.0028
2522,0.0025,0.0019,0.0023,0.2586,0.0019
2523,0.0037,0.0031,0.0032,0.8597,0.0026
2524,0.0048,0.0034,0.0035,0.828,0.0028
2525,0.0017,0.0012,0.0015,0.0886,0.0014
2526,0.0282,0.0031,0.0032,0.7808,0.0025
2527,0.0035,0.003,0.0031,1.0866,0.0025
2528,0.0047,0.0043,0.0042,5.4564,0.0038
2529,0.0039,0.0036,0.0035,0.9069,0.0027
2530,0.0037,0.0034,0.0033,0.7054,0.0028
2531,0.0046,0.0051,0.0047,1.2209,0.0032
2532,0.004,0.0039,0.0036,1.0082,0.0027
2533,0.0066,0.0071,0.0058,22.1,0.0045
2534,0.0033,0.0027,0.0028,0.9949,0.0022
2535,0.0068,0.0062,0.0053,28.3813,0.0042
2536,0.0039,0.0039,0.0034,2.4625,0.0028
2537,0.0032,0.0028,0.0029,0.3076,0.0022
2538,0.0023,0.0018,0.002,0.3081,0.0019
2539,0.0023,0.0018,0.002,0.2114,0.0017
2540,0.0026,0.002,0.0023,0.2896,0.0021
2541,0.0047,0.0043,0.0041,4.0663,0.0034
2542,0.0018,0.0014,0.0016,0.1211,0.0015
2543,0.0027,0.0021,0.0033,0.467,0.0021
2544,0.0026,0.0021,0.0023,0.3022,0.0018
2545,0.003,0.0025,0.0027,0.4344,0.0023
2546,0.0027,0.0032,0.0024,0.4989,0.002
2547,0.0036,0.003,0.0032,0.8623,0.003
2548,0.0019,0.0014,0.0017,0.1299,0.0015
2549,0.0026,0.0014,0.0017,0.1151,0.0016
2550,0.0033,0.0028,0.0029,0.5978,0.0023
2551,0.0017,0.0012,0.0015,0.1,0.0014
2552,0.0031,0.0028,0.0028,0.5262,0.0021
2553,0.0026,0.002,0.0022,0.4798,0.0019
2554,0.003,0.0024,0.0027,0.3776,0.0022
2555,0.0024,0.0019,0.0021,0.2448,0.0019
2556,0.002,0.0014,0.0017,0.1365,0.0015
2557,0.0036,0.0031,0.0032,1.044,0.0025
2558,0.0033,0.0028,0.0037,0.5296,0.0023
2559,0.0029,0.0024,0.0026,0.6419,0.0022
2560,0.0022,0.0018,0.002,0.2863,0.0016
2561,0.0021,0.0015,0.0019,0.1552,0.0016
2562,0.0043,0.0039,0.004,3.0184,0.003
2563,0.0021,0.0015,0.0019,0.1278,0.0018
2564,0.0034,0.003,0.0031,0.5196,0.0024
2565,0.0035,0.0022,0.0024,0.5152,0.0021
2566,0.0055,0.0061,0.005,4.4573,0.0037
2567,0.0038,0.0035,0.0035,0.754,0.0027
2568,0.0047,0.0046,0.0042,3.5419,0.0038
2569,0.0023,0.0017,0.002,0.2503,0.0016
2570,0.0041,0.0037,0.0036,0.8255,0.003
2571,0.0029,0.0024,0.0033,0.4212,0.0021
2572,0.0038,0.0032,0.0033,0.8196,0.0027
2573,0.0037,0.0032,0.0033,1.7078,0.0026
2574,0.0038,0.0035,0.0034,0.9226,0.0027
2575,0.0036,0.0032,0.0032,0.5986,0.0027
2576,0.0029,0.0016,0.0018,0.1666,0.0016
2577,0.003,0.0026,0.0026,0.8781,0.0021
2578,0.0028,0.0023,0.0026,0.3458,0.0022
2579,0.0044,0.0042,0.0041,1.1993,0.0031
2580,0.0037,0.0031,0.0031,0.7636,0.0025
2581,0.0027,0.0031,0.0023,0.3245,0.0019
2582,0.0058,0.0057,0.006,14.8955,0.004
2583,0.002,0.0015,0.0018,0.1336,0.0016
2584,0.0025,0.0019,0.0022,0.2961,0.002
2585,0.0035,0.003,0.0031,0.7668,0.0026
2586,0.0022,0.0017,0.0019,0.1716,0.0016
2587,0.0023,0.0018,0.0019,0.2155,0.0017
2588,0.0029,0.0024,0.0026,0.3437,0.0021
2589,0.002,0.0016,0.0017,0.1051,0.0024
2590,0.0031,0.0018,0.0021,0.219,0.0017
2591,0.0027,0.0023,0.0025,0.3531,0.0021
2592,0.0038,0.0034,0.0032,0.8864,0.0025
2593,0.0045,0.0041,0.0038,2.8541,0.003
2594,0.0028,0.0022,0.0024,0.4789,0.0021
2595,0.0039,0.0035,0.0035,1.0331,0.0026
2596,0.0023,0.0018,0.0019,0.2005,0.0018
2597,0.004,0.0035,0.0041,0.8338,0.0029
2598,0.0036,0.0041,0.0033,1.5824,0.0024
2599,0.0033,0.0027,0.0029,0.5022,0.0024
2600,0.0047,0.0044,0.0041,1.6342,0.0032
2601,0.0019,0.0014,0.0016,0.135,0.0015
2602,0.0044,0.0037,0.0032,0.73,0.0028
2603,0.0033,0.0028,0.0028,1.0701,0.0023
2604,0.0032,0.0027,0.0028,0.5299,0.0024
2605,0.0025,0.002,0.0021,0.2312,0.0018
2606,0.0035,0.0029,0.003,1.1611,0.0025
2607,0.0028,0.0022,0.0024,0.2809,0.002
2608,0.007,0.0082,0.0068,33.1755,0.0052
2609,0.004,0.0035,0.0035,1.9625,0.0028
2610,0.003,0.0024,0.0026,0.7336,0.0023
2611,0.0041,0.0036,0.0035,0.7888,0.003
2612,0.0018,0.0014,0.0016,0.0966,0.0014
2613,0.0028,0.0023,0.0026,0.3171,0.0022
2614,0.0037,0.0041,0.0033,0.7109,0.0027
2615,0.0035,0.0022,0.0024,0.3805,0.0021
2616,0.0022,0.0254,0.0019,0.1925,0.0016
2617,0.0035,0.0032,0.0032,0.49,0.0027
2618,0.0021,0.0016,0.0019,0.1582,0.0016
2619,0.0028,0.0023,0.0025,0.3038,0.0023
2620,0.0039,0.0032,0.0034,1.1371,0.0028
2621,0.0021,0.0015,0.0018,0.1546,0.0017
2622,0.0042,0.0038,0.0044,2.9319,0.0028
2623,0.0037,0.0034,0.0032,0.9228,0.0025
2624,0.003,0.0024,0.0026,0.3792,0.0022
2625,0.0029,0.0023,0.0026,0.5092,0.002
2626,0.0038,0.0033,0.0033,1.5379,0.0027
2627,0.0034,0.003,0.0029,0.7943,0.0023
2628,0.0042,0.0029,0.003,1.0577,0.0024
2629,0.0024,0.0019,0.0023,0.218,0.0018
2630,0.0037,0.0031,0.0033,0.9023,0.0032
2631,0.0036,0.0031,0.0032,1.2482,0.0027
2632,0.0026,0.002,0.0023,0.298,0.0019
2633,0.0027,0.0029,0.0023,0.2737,0.0021
2634,0.0015,0.001,0.0013,0.0521,0.0012
2635,0.0039,0.0033,0.0034,1.1108,0.0027
2636,0.0017,0.0012,0.0023,0.1009,0.0013
2637,0.0037,0.0031,0.0031,0.5499,0.0027
2638,0.0032,0.0029,0.0028,0.4796,0.0023
2639,0.0046,0.0041,0.0041,1.2574,0.0033
2640,0.0034,0.0028,0.003,0.4631,0.0025
2641,0.004,0.0035,0.0036,2.4405,0.0028
2642,0.0044,0.0031,0.0031,1.0302,0.0026
2643,0.0025,0.0019,0.0022,0.2531,0.0018
2644,0.0042,0.0038,0.0036,0.9043,0.0029
2645,0.0027,0.0021,0.0024,0.4744,0.0021
2646,0.0017,0.0012,0.0015,0.0741,0.0014
2647,0.0035,0.0029,0.003,0.5969,0.0025
2648,0.0029,0.0022,0.0024,0.3639,0.002
2649,0.0022,0.0017,0.0029,0.1375,0.0018
2650,0.0048,0.0043,0.0041,1.417,0.0037
2651,0.0023,0.0017,0.002,0.1854,0.0017
2652,0.0042,0.0042,0.0036,1.2777,0.003
2653,0.0045,0.0041,0.0039,1.1815,0.003
2654,0.0031,0.0026,0.0027,0.4043,0.0024
2655,0.0043,0.0029,0.003,0.5572,0.0025
2656,0.0038,0.0032,0.0032,1.2632,0.0026
2657,0.0049,0.0044,0.0041,2.3815,0.0031
2658,0.0026,0.002,0.0022,0.2558,0.002
2659,0.0018,0.0014,0.0016,0.0937,0.0014
2660,0.0037,0.0032,0.0033,1.5588,0.0027
2661,0.0043,0.0038,0.0046,2.917,0.0029
2662,0.0026,0.002,0.0024,0.267,0.0021
2663,0.0035,0.0029,0.0031,1.2574,0.0026
2664,0.0037,0.0032,0.0032,1.4471,0.0026
2665,0.0051,0.0047,0.0044,5.996,0.0036
2666,0.0042,0.0048,0.0037,1.0825,0.003
2667,0.0057,0.0052,0.0044,2.0362,0.0033
2668,0.0054,0.005,0.0047,2.6726,0.004
2669,0.0034,0.0028,0.0028,0.5443,0.0022
2670,0.0048,0.0043,0.0041,3.8876,0.0032
2671,0.0027,0.0021,0.0032,0.4124,0.0019
2672,0.0048,0.0044,0.004,2.2389,0.0032
2673,0.0033,0.0027,0.0028,0.4753,0.0024
2674,0.0031,0.0025,0.0026,0.3876,0.0021
2675,0.0036,0.0029,0.003,1.1957,0.0025
2676,0.0038,0.0032,0.0033,1.152,0.0028
2677,0.0039,0.0024,0.0026,0.4667,0.0021
2678,0.0032,0.0026,0.0028,0.3947,0.0025
2679,0.0043,0.0039,0.0038,1.0159,0.003
2680,0.0035,0.0038,0.003,0.6691,0.0026
2681,0.003,0.0025,0.0026,0.395,0.0022
2682,0.0027,0.0022,0.0023,0.7273,0.0019
